currency,asset,strategy,profit[%],market change[%],wins[%],best win,worst loss,avg HODL[min],candleSize,historySize,trades,dataset from,to,strategy settings,note
USDT,BTC,MACD 12|27|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 12 signal = 12 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|30|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 18 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 13|27|18,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 27 short = 18 signal = 13 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 11|29|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 11 signal = 11 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 9|29|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 29 short = 11 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|30|19,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 19 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|23|11,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 23 short = 11 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 14|21|12,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 21 short = 12 signal = 14 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 10|30|10,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 30 short = 10 signal = 10 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USDT,BTC,MACD 15|28|15,3.75,3.80,,,,0,10,73,1,2018-04-02 00:00:00,2018-04-03 00:00:00,long = 28 short = 15 signal = 15 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
